time,speed_north,speed_east,speed_up,North,East,Altitude
16:08:1625814484,0.00243998016230762,-0.04386823624372482,0.5431023836135864,0.0005793914434326364,0.004752891501292877,1.3791156673683602
16:08:1625814485,0.00243998016230762,-0.04386823624372482,0.5431023836135864,0.0006371264743670613,0.0037148773339257257,1.3919666050123922
16:08:1625814485,0.00243998016230762,-0.04386823624372482,0.5431023836135864,0.0006873733917433789,0.002811491447419767,1.4031508027439443
16:08:1625814485,0.00243998016230762,-0.04386823624372482,0.5431023836135864,0.0007621591225215052,0.0014669239152265146,1.4197969662141716
16:08:1625814485,0.00243998016230762,-0.04386823624372482,0.5431023836135864,0.0007848410326854738,0.0010591274056881428,1.4248456136028906
16:08:1625814485,0.010684228502213955,-0.010855091735720634,0.3142736852169037,0.0011116747428735196,0.0007270669386472139,1.4344593385932
16:08:1625814485,0.010684228502213955,-0.010855091735720634,0.3142736852169037,0.0013344555837754013,0.0005007233646165954,1.4410123766390868
16:08:1625814485,0.010684228502213955,-0.010855091735720634,0.3142736852169037,0.0015803380568638337,0.0002509087148243605,1.4482449429335773
16:08:1625814485,0.010684228502213955,-0.010855091735720634,0.3142736852169037,0.0017943306486706,3.349393243312626e-05,1.4545394770145634
16:08:1625814485,0.010684228502213955,-0.010855091735720634,0.3142736852169037,0.0020213527750053417,-0.0001971587540843256,1.4612172713217717
16:08:1625814485,0.010684228502213955,-0.010855091735720634,0.3142736852169037,0.002223734688732243,-0.00040277717928938195,1.4671702804543472
16:08:1625814485,0.010684228502213955,-0.010855091735720634,0.3142736852169037,0.002440857935071733,-0.0006233726819486751,1.4735569018897863
16:08:1625814485,0.010684228502213955,-0.010855091735720634,0.3142736852169037,0.002700205534165029,-0.0008868677933657754,1.4811855412157158
16:08:1625814485,0.010684228502213955,-0.010855091735720634,0.3142736852169037,0.002912595862586048,-0.0011026546888175393,1.487432945153536
16:08:1625814485,0.010684228502213955,-0.010855091735720634,0.3142736852169037,0.0031261554102345046,-0.0013196295017656734,1.4937147413579908
16:08:1625814485,0.010684228502213955,-0.010855091735720634,0.3142736852169037,0.0033764039873661333,-0.0015738800787665763,1.5010757354193913
16:08:1625814485,0.010684228502213955,-0.010855091735720634,0.3142736852169037,0.0036166568863965354,-0.00181797512579851,1.5081427093189745
16:08:1625814485,0.010684228502213955,-0.010855091735720634,0.3142736852169037,0.0038313474434937544,-0.0020360990354097996,1.5144577738597818
16:08:1625814485,0.010684228502213955,-0.010855091735720634,0.3142736852169037,0.004048926659858759,-0.0022571578000121217,1.5208578075299215
16:08:1625814485,0.010684228502213955,-0.010855091735720634,0.3142736852169037,0.004269695119083788,-0.0024814568101600987,1.5273516519142802
16:08:1625814485,0.010684228502213955,-0.010855091735720634,0.3142736852169037,0.004622468174354605,-0.0028398714468427233,1.5377283757088165
16:08:1625814485,0.023436613380908966,0.03578708693385124,0.17297515273094177,0.005153005810796113,-0.0020297545494722957,1.5416440365255681
16:08:1625814485,0.023436613380908966,0.03578708693385124,0.17297515273094177,0.005669881461907916,-0.001240499141291318,1.5454588643439422
16:08:1625814485,0.023436613380908966,0.03578708693385124,0.17297515273094177,0.006269388376437174,-0.0003250679858164407,1.5498835565304176
16:08:1625814485,0.023436613380908966,0.03578708693385124,0.17297515273094177,0.0069086742985583205,0.0006511046590407243,1.554601839766157
16:08:1625814485,0.023436613380908966,0.03578708693385124,0.17297515273094177,0.007380557595529108,0.0013716579359523973,1.5580845991579721
16:08:1625814485,0.023436613380908966,0.03578708693385124,0.17297515273094177,0.007966922183066355,0.0022670211067346013,1.5624122937116525
